title,frequency,text_unit_ids
ELEMENTS-THE ASSUMPTION,1,[4]
EMPTY PLACES,1,[4]
END- SACRED TEXTS,1,[5]
ENDLESS VARIETY,1,[2]
ENGENDER IGNORANCE,1,[4]
ENNEADS,1,[5]
ENOUGH,1,[4]
ENTER-WHICH WATERY VESSELS,1,[3]
ENTERTAINERS TO-DAY,1,[0]
ENTIRE COMPOUND,1,[1]
ENTIRE CREATURE,1,[4]
ENTIRE FRAMEWORK,1,[3]
ENTIRE MASS,1,[2]
ENTIRE SEED,1,[3]
EQUAL NUMBER,1,[1]
EQUAL PARTS,1,[1]
EQUAL SIDES,1,[2]
EQUAL SWIFTNESS,1,[1]
EQUAL TRUTH,1,[1]
EQUILATERAL QUADRANGLE,1,[2]
EQUILATERAL TRIANGLE,1,[2]
EQUILATERAL TRIANGLES,1,[2]
ERRONEOUS SUPPOSITION,1,[2]
ETERNAL ANIMALS,1,[1]
ETERNAL BEINGS,1,[2]
ETERNAL ESSENCE,1,[1]
ETERNAL GODS,1,[1]
ETERNAL NATURE,1,[1]
ETERNAL THINGS,2,"[0, 2]"
EUROPE,1,[0]
EVERY-DAY LIFE,1,[1]
EVIL CONSTITUTION,1,[4]
EVIL DISCOURSES,1,[4]
EVIL FORMS,1,[4]
EVIL NATURE,1,[1]
EXACT PARTICULARS,1,[0]
EXACT REASON,1,[2]
EXCELLENT,1,[0]
EXCELLENT EDUCATION,1,[0]
EXCESSIVE PAINS,1,[4]
EXPERIENCE GRADUAL WITHDRAWINGS,1,[3]
EXPLORE CAUSES,1,[1]
EXTERIOR ENVIRONMENT,1,[1]
EXTERNAL AGENCY,1,[4]
EXTERNAL AIR,2,"[3, 4]"
EXTERNAL BODIES,1,[3]
EXTERNAL CONTACT,1,[1]
EXTERNAL ELEMENTS,1,[4]
EXTERNAL ENVELOPMENT,1,[1]
EXTERNAL FIRE,1,[1]
EXTERNAL FIRES,1,[1]
EXTERNAL OBJECT,1,[1]
EXTERNAL THING,1,[1]
EXTERNAL THINGS,1,[4]
EXTERNAL WORLD,1,[1]
EXTREME NECESSITY,1,[4]
FACE COALESCES,1,[1]
FAIR CONCEITS,1,[0]
FAIRER SORT,1,[2]
FAIREST BOND,1,[0]
FAIREST CONSTITUTION,1,[0]
FAMOUS ACTION,1,[0]
FATAL DISORDERS,1,[4]
FATHER CREATOR,1,[1]
FEMALE SEX,1,[4]
FESTIVE ARRAY,1,[0]
FEWEST BASES,1,[2]
FEWEST WORDS,1,[4]
FIERY BODIES GATHER-IF,1,[3]
FIERY NATURE,1,[2]
FINE PORTION,1,[2]
FINER PARTICLES,1,[2]
FIRE CUTS,1,[4]
FIRE DEPARTS,1,[1]
FIRE DIFFUSES,1,[1]
FIRE FORM,1,[2]
FIRE ONLY-WHEN,1,[2]
FLAME,1,[3]
FLESH YIELDS,1,[2]
FLESHY NATURE,1,[3]
FLESHY PARTS FALL,1,[4]
FLUIDS CREATES,1,[2]
FOOLISH COUNSELLORS,1,[3]
FORM HOLLOWS,1,[3]
FORM MOUNTS,1,[2]
FOUR-FOLD PERIOD,1,[4]
FREQUENT TRANSFERS,1,[3]
FRESH CUTTINGS,1,[4]
FRIENDLY VICTORY,1,[2]
FRONT PART,1,[1]
FROTHY NATURE,1,[2]
FUSIBLE SORT,1,[2]
FUSILE KIND,1,[2]
FUSILE SUBSTANCE,1,[2]
FUTURE GOOD,1,[3]
FUTURE TIME,1,[1]
GAIN WISDOM,1,[5]
GAINS BULK,1,[4]
GENERAL AFFECTIONS,1,[3]
GENERAL AGITATION,1,[3]
GENERAL HEADS,1,[0]
GENERAL NAME,3,"[1, 2, 3]"
GENERATE SIGHT,1,[3]
GENERATION PARENTS,1,[0]
GENTLE INSPIRATION,1,[3]
GLORIOUS WORLD,1,[1]
GLUTINOUS NATURE,1,[3]
GOD,6,"[0, 1, 2, 3, 4, 5]"
GODDESSES,1,[0]
GODS PURGE,1,[0]
GOOD LUCK,1,[0]
GOOD PARENTS,1,[0]
GRACELESS WAYS,1,[1]
GRADUAL RETURN,1,[3]
GREAT ADVANTAGE,1,[0]
GREAT AGE,1,[0]
GREAT BODY,1,[3]
GREAT CITY,1,[0]
